show_id,show_cache_time,show_canonical_name,show_clips_count,show_episodes_count,show_feature_films_count,show_film_clips_count,show_genre,show_is_movie,show_is_showtime_only,show_is_subscriber_only,show_rating,show_seasons_count,show_series_id,show_type,show_videos_count,show_company_name
18114,2017-08-10T15:52:40+00:00,blue-bloods,0,155,0,0,Drama,False,False,False,4.551720635,7,50015630,show,155,CBS
15054,2017-08-10T15:54:24+00:00,rabbids-invasion,0,52,0,0,Animation and Cartoons,False,False,False,3.433965658,2,50012572,show,52,Nickelodeon
12867,2017-08-10T14:55:06+00:00,frasier,0,264,0,0,Comedy,False,False,False,4.252930323,11,50009965,show,264,CBS
28109,2017-08-10T15:45:52+00:00,gravity-falls,1,40,0,0,Animation and Cartoons,False,False,False,4.598782733,2,50026182,show,41,Disney XD
11266,2017-08-10T14:10:02+00:00,mistresses-us,1,52,0,0,Drama,False,False,False,4.28725664,4,50008691,show,53,ABC
19289,2017-08-10T14:40:04+00:00,gotham,120,5,0,0,Drama,False,False,False,4.613357996,1,50017347,show,125,FOX
2324,2017-08-10T14:50:37+00:00,inuyasha,1,334,0,0,Anime,False,False,False,4.325406635,7,12039,show,335,Viz Media
23481,2017-08-10T16:07:33+00:00,clarence,77,77,0,0,Animation and Cartoons,False,False,False,3.34723817,2,50021821,show,154,Cartoon Network
20977,2017-08-10T15:32:18+00:00,drake-and-josh,0,47,0,0,Kids,False,False,False,3.9418955660000004,4,50018838,show,47,Nickelodeon
20969,2017-08-10T15:49:06+00:00,hey-arnold,0,99,0,0,Animation and Cartoons,False,False,False,4.098780423,5,50019171,show,99,Nickelodeon
14114,2017-08-10T16:01:12+00:00,east-los-high,34,60,0,0,Drama,False,False,False,4.15686925,4,50011523,show,94,Hulu Original Series
1349,2017-08-10T15:46:19+00:00,sesame-street,7,60,0,0,Kids,False,False,False,3.363741534,3,10360,show,67,Sesame Street
23170,2017-08-10T15:30:25+00:00,casual,20,36,0,0,Comedy,False,False,False,4.536517228,3,50021539,show,56,Hulu Original Series
16720,2017-08-10T15:44:45+00:00,chicago-pd,66,23,0,0,Drama,False,False,False,4.549655876,1,50013863,show,89,NBC
22751,2017-08-10T16:09:27+00:00,ready-steady-wiggle,0,104,0,0,Kids,False,False,False,2.193160087,2,50020886,show,104,Australian Broadcasting Corporation
